qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
1,2,img1,img1,img1,img2,0.7634837,0.6791787
3,4,img2,img2,img1,img2,0.4882834,0.0075772405
5,6,img1,img1,img1,img2,0.98527133,0.9693242
7,8,img2,img2,img1,img2,0.1919328,0.19436783
9,10,img2,img2,img1,img2,0.38491216,0.04885778
11,12,img1,img1,img1,img2,0.93045825,0.96210754
13,14,img2,img1,img1,img2,0.3522018,0.5525397
15,16,img1,img2,img1,img2,0.7371582,0.37022537
17,18,img2,img2,img1,img2,0.031618766,0.04084572
19,20,img1,img1,img1,img2,0.98481095,0.7905303
21,22,img1,img1,img1,img2,0.7490872,0.7401744
23,24,img1,img1,img1,img2,0.62245935,0.6442251
25,26,img2,img2,img1,img2,0.32082132,0.17553806
27,28,img2,img2,img1,img2,0.43014732,0.46490157
29,30,img1,img1,img1,img2,0.82893884,0.91730267
31,32,img1,img1,img1,img2,0.94165415,0.8840393
33,34,img1,img1,img1,img2,0.94891727,0.9184803
35,36,img2,img2,img1,img2,0.15405756,0.3451053
37,38,img1,img2,img1,img2,0.97112906,0.45713675
39,40,img1,img1,img1,img2,0.98951083,0.9777139
41,42,img1,img1,img1,img2,0.99701905,0.998884
43,44,img1,img1,img1,img2,0.979354,0.9314625
45,46,img2,img2,img1,img2,0.016029146,0.25238404
47,48,img2,img2,img1,img2,0.09534946,0.0705596
49,50,img2,img2,img1,img2,0.12678517,0.032100707
51,52,img1,img1,img1,img2,0.99931216,0.99869555
53,54,img2,img1,img1,img2,0.3684057,0.5660185
55,56,img1,img1,img1,img2,0.5774954,0.7233095
57,58,img1,img1,img1,img2,0.6001883,0.6584175
59,60,img1,img1,img1,img2,0.9658996,0.7634837
61,62,img1,img1,img1,img2,0.76629364,0.5117166
63,64,img1,img1,img1,img2,0.9990452,0.85293543
65,66,img1,img2,img1,img2,0.9999567,0.017712297
67,68,img1,img2,img1,img2,0.7371582,0.031143833
69,70,img1,img2,img1,img2,0.8740772,0.0045384313
71,72,img1,img1,img1,img2,0.53509843,0.8244619
73,74,img1,img2,img1,img2,0.8056322,0.0043994132
75,76,img1,img1,img1,img2,0.9658996,0.76629364
77,78,img1,img2,img1,img2,0.5888891,0.38121957
79,80,img1,img2,img1,img2,0.9511422,0.23091975
81,82,img1,img1,img1,img2,0.936285,0.9073123
83,84,img1,img1,img1,img2,0.96538115,0.95759624
85,86,img1,img1,img1,img2,0.5428633,0.6334103
87,88,img1,img1,img1,img2,0.9678993,0.91964257
89,90,img1,img1,img1,img2,0.8933094,0.74316794
91,92,img1,img1,img1,img2,0.9032942,0.81757444
93,94,img1,img1,img1,img2,0.9334308,0.95976204
95,96,img2,img2,img1,img2,0.13117322,0.083890386
97,98,img1,img1,img1,img2,0.9588471,0.89029425
99,100,img2,img2,img1,img2,0.002673006,0.0007916296
101,102,img1,img1,img1,img2,0.96267307,0.94966936
103,104,img1,img1,img1,img2,0.96538115,0.9407897
105,106,img1,img2,img1,img2,0.56985265,0.32082132
107,108,img1,img1,img1,img2,0.6893056,0.6001883
109,110,img1,img1,img1,img2,0.9766692,0.979354
111,112,img1,img1,img1,img2,0.99886644,0.9911527
113,114,img2,img2,img1,img2,0.032589745,0.0145035805
115,116,img1,img2,img1,img2,0.57367843,0.32082132
117,118,img1,img1,img1,img2,0.891811,0.91367656
119,120,img1,img1,img1,img2,0.53509843,0.5389832
121,122,img2,img2,img1,img2,0.14414886,0.09401019
123,124,img1,img1,img1,img2,0.8080672,0.9869795
125,126,img2,img2,img1,img2,0.04813677,0.04084572
127,128,img1,img1,img1,img2,0.7577944,0.715424
129,130,img1,img2,img1,img2,0.97838473,0.23934935
131,132,img2,img2,img1,img2,0.007876706,0.02800752
133,134,img1,img2,img1,img2,0.81047887,0.0029679998
135,136,img2,img2,img1,img2,0.064653486,0.090092994
137,138,img2,img2,img1,img2,0.009268013,0.071073666
139,140,img2,img2,img1,img2,0.18010665,0.29421496
141,142,img1,img1,img1,img2,0.9688562,0.86703575
143,144,img1,img1,img1,img2,0.9219218,0.94966936
145,146,img2,img2,img1,img2,0.039638843,0.042722195
147,148,img2,img2,img1,img2,0.0042646346,0.049589027
149,150,img1,img1,img1,img2,0.86522406,0.8933094
151,152,img1,img2,img1,img2,0.9923044,0.16451645
153,154,img1,img2,img1,img2,0.8887587,0.01717671
155,156,img1,img2,img1,img2,0.9324533,3.269927e-05
157,158,img1,img2,img1,img2,0.936285,0.0013250224
159,160,img1,img2,img1,img2,0.9390248,0.037892424
161,162,img1,img1,img1,img2,0.9766692,0.7772999
163,164,img1,img2,img1,img2,0.99942964,0.37022537
165,166,img1,img2,img1,img2,0.99999714,0.016403032
167,168,img1,img1,img1,img2,0.99931216,0.6442251
169,170,img1,img1,img1,img2,0.9980732,0.9908744
171,172,img2,img2,img1,img2,0.37387583,0.010408314
173,174,img1,img2,img1,img2,0.9032942,0.0075772405
175,176,img2,img2,img1,img2,0.029760094,0.02931223
177,178,img1,img2,img1,img2,0.59643316,0.15002882
179,180,img1,img2,img1,img2,0.8244619,0.008711384
181,182,img1,img1,img1,img2,0.5312094,0.85195285
183,184,img2,img2,img1,img2,0.01798621,0.14223188
185,186,img1,img2,img1,img2,0.96641046,0.4148988
187,188,img2,img2,img1,img2,0.059210252,0.05033063
189,190,img2,img2,img1,img2,0.03410043,0.02479816
191,192,img2,img2,img1,img2,0.13117322,0.0046095727
193,194,img1,img2,img1,img2,0.99611557,0.38121957
195,196,img1,img1,img1,img2,0.9032942,0.73105854
197,198,img1,img1,img1,img2,0.9943581,0.8723474
199,200,img2,img2,img1,img2,0.18242551,0.109705776
201,202,img2,img2,img1,img2,0.253861,0.33111975
203,204,img2,img2,img1,img2,0.2509128,0.1480472
205,206,img1,img1,img1,img2,0.99732697,0.5926666
207,208,img1,img1,img1,img2,0.89478946,0.96432143
209,210,img1,img2,img1,img2,0.9830851,0.4882834
211,212,img2,img2,img1,img2,0.4186969,0.44939265
213,214,img2,img2,img1,img2,0.2782568,0.07696084
215,216,img2,img1,img1,img2,0.40733343,0.5039062
217,218,img2,img2,img1,img2,0.33458945,0.117572136
219,220,img2,img2,img1,img2,0.4035669,0.43398148
221,222,img2,img2,img1,img2,0.109705776,0.12002563
223,224,img2,img2,img1,img2,0.4843801,0.43014732
225,226,img1,img2,img1,img2,0.7981868,0.25982565
227,228,img1,img1,img1,img2,0.83548355,0.8221891
229,230,img1,img1,img1,img2,0.76629364,0.79310596
231,232,img1,img1,img1,img2,0.5273165,0.53509843
233,234,img1,img1,img1,img2,0.9763105,0.95257413
235,236,img1,img1,img1,img2,0.62977463,0.62977463
237,238,img1,img2,img1,img2,0.6261242,0.37387583
239,240,img2,img1,img1,img2,0.1666754,0.54673815
241,242,img1,img1,img1,img2,0.96432143,0.7745834
243,244,img2,img2,img1,img2,0.017712297,0.042722195
245,246,img2,img1,img1,img2,0.20689406,0.6654106
247,248,img1,img1,img1,img2,0.9997818,0.99973875
249,250,img1,img1,img1,img2,0.97482115,0.950411
251,252,img1,img2,img1,img2,0.96267307,0.0627892
253,254,img2,img2,img1,img2,0.16451645,0.037892424
255,256,img1,img1,img1,img2,0.7772999,0.6001883
257,258,img1,img1,img1,img2,0.9693242,0.7248703
259,260,img1,img2,img1,img2,0.79565805,0.124213
261,262,img1,img2,img1,img2,0.99108386,0.47073662
263,264,img1,img2,img1,img2,0.89478946,0.08151975
265,266,img1,img2,img1,img2,0.9546474,0.38491216
267,268,img2,img1,img1,img2,0.20946969,0.6619229
269,270,img1,img2,img1,img2,0.692642,0.23370634
